SpecCode,Species,Autoctr,Stockcode,PopCharRefNo,Sex,SourceRef,Wmax,TypeWeight,Lmax,Type,tmax,Locality,C_Code,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,Comments,SameWL,SameLt,TS
67456,Carcharhinus tjutjot,16580,58728,89954,male,NA,NA,NA,93.7,TL,NA,southern waters,360,14,08/09/2014 00:00,NA,08/09/2014 00:00,NA,NA,40.4-93.7 cm TL,0,0,NA
886,Galeocerdo cuvier,781,902,31395,female,NA,NA,NA,430,TL,28,Not given.,NA,1,04/10/1999 00:00,NA,04/10/1999 00:00,NA,NA,NA,0,-1,NA
886,Galeocerdo cuvier,779,902,4827,unsexed,NA,NA,NA,450,NA,NA,Atlantic,840,3,20/08/1993 00:00,NA,20/08/1993 00:00,NA,NA,NA,0,0,NA
886,Galeocerdo cuvier,780,902,27093,unsexed,27094,NA,NA,469,FL,NA,Northern  American waters,840,3,04/08/1998 00:00,NA,04/08/1998 00:00,NA,NA,NA,0,0,NA
886,Galeocerdo cuvier,3047,902,47613,unsexed,NA,NA,NA,750,TL,NA,Persian Gulf and Oman Sea,364,1124,08/07/2003 00:00,NA,08/07/2003 00:00,NA,NA,NA,0,0,NA
886,Galeocerdo cuvier,8038,902,58048,unsexed,NA,NA,NA,740,TL,NA,not specified,360,1790,14/02/2008 00:47,NA,14/02/2008 00:47,NA,NA,NA,0,0,NA
886,Galeocerdo cuvier,16584,902,89972,unsexed,NA,NA,NA,550,TL,NA,Not specified.,258,2291,09/09/2014 00:00,NA,09/09/2014 00:00,NA,NA,NA,0,0,NA
65549,Glyphis fowlerae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,Glyphis gangeticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64133,Glyphis garricki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
888,Glyphis glyphis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57443,Glyphis siamensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
891,Isogomphodon oxyrhynchus,787,907,34266,female,34266,NA,NA,160,TL,12,"Turia<e7><fa> Bay to Tubar<e3>o Bay, 1984-87; 1990-91/1998",76,3,15/06/2000 00:00,NA,15/06/2000 00:00,NA,NA,NA,0,0,NA
891,Isogomphodon oxyrhynchus,788,907,34266,male,34266,NA,NA,144,TL,7,"Turia<e7><fa> Bay to Tubar<e3>o Bay, 1984-87; 1990-91/1998",76,3,15/06/2000 00:00,NA,15/06/2000 00:00,NA,NA,NA,0,0,NA
892,Lamiopsis temminckii,8039,908,58048,unsexed,NA,NA,NA,168,TL,NA,not specified,360,1790,15/02/2008 01:34,NA,15/02/2008 01:34,NA,NA,NA,0,0,NA
66612,Lamiopsis tephrodes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
894,Loxodon macrorhinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
895,Nasolamia velox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
896,Negaprion acutidens,8040,912,58048,unsexed,NA,NA,NA,310,TL,NA,not specified,360,1790,15/02/2008 01:43,NA,15/02/2008 01:43,NA,NA,NA,0,0,NA
896,Negaprion acutidens,16585,912,89972,unsexed,NA,NA,NA,380,TL,NA,Not specified.,258,2291,10/09/2014 00:00,NA,10/09/2014 00:00,NA,NA,NA,0,0,NA
897,Negaprion brevirostris,793,913,31395,female,NA,NA,NA,320,TL,25,Not given.,NA,1,04/10/1999 00:00,NA,04/10/1999 00:00,NA,NA,NA,0,-1,NA
897,Negaprion brevirostris,16366,913,96339,unsexed,NA,NA,NA,340,TL,NA,Not specified.,9999,2291,06/08/2014 00:00,NA,06/08/2014 00:00,NA,NA,NA,0,0,NA
898,Prionace glauca,5364,914,55027,female,NA,NA,NA,NA,NA,19.7,EEZ,554,3,29/07/2005 00:00,NA,29/07/2005 00:00,NA,NA,Age estimated from vertebral rings.,0,0,NA
898,Prionace glauca,5363,914,55027,male,NA,NA,NA,NA,NA,22.8,EEZ,554,3,29/07/2005 00:00,NA,29/07/2005 00:00,NA,NA,Age estimated from vertebral rings.,0,0,NA
