Higher taxonomy,Order,Family,Species,Maximum size (cm),von Bertalanffy growth rate (k),Maximum Age,Age at maturity,Litter size,interbirth interval,rmax,Habitat,Reference
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Raja miraletus,71.7,0.172,8.2,2.3,61,1,1.087,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Raja montagui,74,0.204,7,4.6,60,1,0.543,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Raja rhina,132.2,0.04,26,10,NA,1,0.25,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Raja texana,63,0.229,9,5.8,NA,1,0.431,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Raja undulata,100,0.11,13,9,NA,1,0.278,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rhinobatiformes,Rhinobatidae     ,Rhinobatos horkelii,135,0.194,28,6.5,6,1,0.385,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rhinobatiformes,Rhinobatidae     ,Rhinobatos productus,130,0.016,11,7,9,1,0.357,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Torpediniformes,Torpedinidae     ,Torpedo californica,102,0.073,16,9,17,1,0.278,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Torpediniformes,Torpedinidae     ,Torpedo marmorata,63,0.088,20,12.5,11,3,0.2,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Torpediniformes,Torpedinidae     ,Torpedo torpedo,41,0.275,10,4,3.4,1,0.625,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Carcharhinus acronotus,132.4,0.266,19,3.8,3.9,2,0.658,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Carcharhinus amblyrhynchos,190,0.294,12,6,4.1,2,0.417,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Carcharhinus brachyurus,275,0.049,34.5,20.9,16.6,2,0.12,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Carcharhinus brevipinna,294.1,0.1,19,9,8.5,2,0.278,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Carcharhinus cautus,133,0.198,16.4,6,4.2,2,0.417,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Carcharhinus falciformis,305,0.148,17.9,9,6.5,2,0.278,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Carcharhinus galapagensis,300,0.172,15,7.8,8.7,2,0.321,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Carcharhinus isodon,159.6,0.244,8,4.3,4,2,0.581,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Carcharhinus leucas,300.2,0.076,28,18,9.9,2,0.139,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Carcharhinus limbatus,191,0.21,10,6.5,4.6,2,0.385,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Carcharhinus longimanus,285,0.101,14,5.5,6.1,2,0.455,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Carcharhinus obscurus,357.2,0.043,34,20.5,10,3,0.122,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Carcharhinus plumbeus,226.5,0.093,22.4,11.4,7.9,2,0.219,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Carcharhinus porosus,128,0.076,24,6,4.5,1,0.417,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Carcharhinus signatus,260,0.114,31.7,10,11.1,2,0.25,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Carcharhinus sorrah,151.8,0.34,7,2.5,3.1,1,1,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Carcharhinus tilstoni,196,0.14,12,3.5,3,1,0.714,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Galeocerdo cuvier,410,0.184,22.5,10,31.5,2,0.25,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Isogomphodon oxyrhynchus,160,0.121,20,6.5,5,2,0.385,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Carcharhinidae,Negaprion brevirostris,293.6,0.06,20,12.7,7.4,2,0.197,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
