Order,Family,Species,length_max,k,age_mat,age_max,ave_lifespan,litter_size,breeding interval,annual_productivity,rmax_published_previous,rmax_previous_recalc,rmax_updated_recalc,,,
Carchariniformes,Carcharhinidae,Prionace glauca,341.8,0.146,5,14,9.5,30,1,30,0.637,0.637257266,0.577147025,,,30
Carchariniformes,Carcharhinidae,Rhizoprionodon taylori,78.4,1.013,1,7,4,4.5,1,4.5,0.893,0.892837813,0.928654996,,,
Carchariniformes,Carcharhinidae,Rhizoprionodon terraenovae,108.9,0.56,2.3,10.2,6.25,4.4,1,4.4,0.54,0.496118554,0.499373448,,,
Carchariniformes,Scyliorhinidae,Scyliorhinus canicula,71,0.15,7.6,12,9.8,45.5,1,45.5,0.497,0.499335407,0.426272888,,,
Carchariniformes,Sphyrnidae,Sphyrna lewini,331,0.156,5.8,18.6,12.2,20.1,1,20.1,0.54,0.502566149,0.464941203,,,
Carchariniformes,Sphyrnidae,Sphyrna tiburo,104,0.18,2.9,6.5,4.7,10,1,10,0.673,0.672565059,0.556760818,,,
Carchariniformes,Triakidae,Furgaleus macki,150,0.369,6.5,11.5,9,19,2,9.5,0.36,0.359665035,0.296854277,,,
Carchariniformes,Triakidae,Galeorhinus galeus,164.5,0.105,12.6,36.2,24.4,24.9,3,8.3,0.216,0.211245878,0.195573649,,,
Carchariniformes,Triakidae,Mustelus antarcticus,175,0.086,6.4,16,11.2,16,1,16,0.434,0.433503616,0.387206376,,,
Carchariniformes,Triakidae,Mustelus californicus,125,0.218,2.5,9,5.75,9.5,1,9.5,0.737,0.736923448,0.673235823,,,
Carchariniformes,Triakidae,Mustelus canis,132,0.292,4.4,16,10.2,9.5,1,9.5,0.481,0.480004374,0.451684785,,,
Carchariniformes,Triakidae,Mustelus henlei,100,0.225,2.5,13,7.75,4.5,1,4.5,0.479,0.478763421,0.500001573,,,
Carchariniformes,Triakidae,Mustelus lenticulatus,137,0.119,7.5,19.5,13.5,10.7,1,10.7,0.337,0.337044429,0.303720423,,,
Carchariniformes,Triakidae,Mustelus manazo,107,0.124,4,10,7,7.5,1,7.5,0.457,0.46485228,0.403794186,,,
Carchariniformes,Triakidae,Mustelus mustelus,164,0.06,13.5,24,18.75,11.5,1,11.5,0.221,0.221111942,0.189808752,,,
Carchariniformes,Triakidae,Triakis semifasciata,145,0.073,10,25,17.5,15,1,15,0.3,0.300353146,0.271586185,,,
Hexanchiformes,Hexanchidae,Notorynchus cepedianus,291,0.291,16,28.5,22.25,88.5,2,44.25,0.268,0.266889413,0.236439882,,,
Lamniformes,Alopiidae,Alopias pelagicus,365.2,0.085,8.6,28.5,18.55,2,1,2,0.145,0.145432012,0.145160206,,,
Lamniformes,Alopiidae,Alopias superciliosus,422,0.092,12.9,21,16.95,2,1,2,0.118,0.118062907,0.092903563,,,
Lamniformes,Lamnidae,Carcharodon carcharias,600,0.065,12.5,40,26.25,6,2,3,0.146,0.145768347,0.139571223,,,
Lamniformes,Lamnidae,Isurus oxyrinchus,385,0.05,15,21,18,12.5,3,4.166666667,0.148,0.147727867,0.116395136,,,
Lamniformes,Lamnidae,Lamna ditropis,257.3,0.17,7.5,20,13.75,4.5,1,4.5,0.241,0.240940054,0.218735184,,,
